Tempo;TotalWh;CustoR$;CaixaSomWh;VentiladorWh;TVWh;GeladeiraWh
197;215.33;0.18;6.27;25.66;57.10;126.30
202;221.50;0.19;6.41;26.48;57.45;131.16
207;228.08;0.19;7.36;27.14;57.96;135.62
212;235.72;0.20;8.13;28.23;59.80;139.56
217;243.56;0.21;8.81;29.39;61.41;143.94
222;246.11;0.21;8.81;30.40;61.41;145.49
227;251.24;0.21;8.81;31.30;61.41;149.72
232;255.98;0.22;8.81;32.22;61.41;153.54
237;257.98;0.22;8.81;32.86;61.41;154.89
242;260.89;0.22;8.81;34.08;61.41;156.59
247;263.82;0.22;8.81;34.50;61.41;159.09
252;266.72;0.23;8.81;35.25;61.41;161.24
257;271.43;0.23;8.81;35.85;61.41;165.36
262;276.09;0.23;8.81;35.85;61.41;170.01
267;277.88;0.24;8.81;35.85;61.41;171.81
272;279.67;0.24;8.81;35.85;61.41;173.59
277;282.85;0.24;8.81;35.85;61.41;176.78
282;287.17;0.24;8.81;35.85;61.41;181.10
287;291.33;0.25;8.81;35.85;61.41;185.25
292;293.53;0.25;8.81;35.85;61.41;187.46
297;295.21;0.25;8.81;35.85;61.41;189.14
302;297.35;0.25;8.81;35.85;61.41;191.28
307;301.78;0.26;8.81;35.85;61.41;195.70
312;304.45;0.26;8.81;35.85;61.41;198.38
